GarageArea,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,SalePrice
508,2,1493,1493,1478,6,208900
694,3,2643,2069,2153,9,380000
826,3,1718,1718,1705,8,297000
672,2,1131,1131,907,4,89471
772,3,1850,1850,1833,9,326000
874,3,1792,1792,1792,9,374000
164,1,1826,916,910,7,155000
402,2,1216,1216,1216,6,164000
264,1,999,999,999,5,132500
264,1,1113,1113,1113,5,147000
515,2,1073,1073,1073,5,156000
487,2,1484,1484,1484,5,175000
520,2,2414,1766,954,5,160000
286,1,630,630,630,4,86000
336,1,1304,616,264,5,115000
240,1,1578,958,806,6,133000
429,2,1456,728,728,6,172785
308,1,1269,1269,1269,5,155000
273,1,886,886,190,5,91300
0,0,720,720,720,4,34900
546,2,3228,3228,3200,8,430000
240,1,1820,1133,1026,7,184000
288,1,899,899,864,5,130000
297,1,912,912,912,5,120000
264,1,1218,672,672,6,113000
603,2,1768,866,866,7,226700
461,2,1214,1214,1214,5,140000
484,2,1801,1801,1501,7,289000
440,2,1322,855,855,6,147000
400,2,1960,960,960,5,124500
471,2,1911,1065,777,8,215000
676,2,1218,1218,1218,6,208300
360,2,1378,689,689,7,161000
270,1,1041,1041,1041,5,124500
288,1,1363,1363,1008,5,164900
474,2,1368,1368,1368,7,202665
624,2,864,864,864,5,129900
484,2,1080,1080,1084,6,134000
200,1,789,789,768,5,96500
900,3,2020,2020,2006,10,402861
583,2,2119,1378,689,6,158000
889,3,2344,1277,1264,7,265000
546,2,1796,882,794,6,211000
282,1,2080,1276,1276,7,234000
0,0,1294,694,0,4,106250
336,1,1244,1244,1244,6,150000
420,2,1664,1004,1004,6,159000
884,3,4676,3138,3138,10,184750
834,3,2398,1383,1379,7,315750
453,2,1266,1266,1257,7,176000
252,1,928,928,928,5,132000
858,3,2713,1476,1452,9,446261
0,0,605,605,528,4,86000
484,2,2515,2515,2035,6,200624
600,2,1509,1509,1461,6,175000
502,2,1362,751,611,6,128000
392,1,827,827,0,5,107500
0,0,334,334,0,1,39300
403,2,1414,707,707,8,178000
0,0,1347,820,1117,5,107500
527,2,1724,880,880,7,188000
576,2,864,864,864,4,111250
336,1,1159,1159,1051,5,158000
670,2,1601,1601,1581,8,272000
765,3,1838,1838,1838,9,315000
648,3,2285,997,969,8,248000
583,2,1680,1680,1650,7,213250
367,1,767,767,723,7,133000
426,2,1496,664,654,7,179665
786,3,2183,1377,1204,7,229000
440,2,1635,915,1065,6,210000
624,2,768,768,768,5,129500
720,2,825,825,825,5,125000
615,2,2094,912,912,7,263000
440,2,1069,1069,1069,6,140000
288,1,928,928,928,5,112500
908,3,1717,1717,1709,8,255500
520,2,1126,1126,0,4,108000
871,3,2046,1006,998,7,284000
280,1,1048,1048,993,5,113000
299,1,1092,1092,1092,5,141000
570,1,1336,897,637,4,108000
406,2,1446,729,729,7,175000
420,2,1557,1557,1374,7,234000
528,2,1392,1392,1392,5,121500
418,2,1389,1389,1389,5,170000
0,0,996,996,996,5,108000
396,2,1674,1163,1163,6,185000
590,2,2295,1166,1095,7,268000
216,1,1647,841,806,6,128000
656,3,2504,1134,1122,9,325000
532,2,1535,1535,1517,7,214000
612,2,2132,1496,1496,8,316600
600,2,943,943,943,5,135960
576,2,1728,1728,1728,5,142600
288,1,864,864,864,6,120000
650,2,1692,846,846,7,224500
400,2,1430,774,384,7,170000
288,1,1109,576,372,5,139000
336,1,1216,832,832,5,118500
216,1,1477,877,861,7,145000
564,2,1320,1320,1164,5,164500
540,2,1392,703,689,7,146000
352,1,1795,1050,1050,5,131500
572,2,1429,1429,1144,6,181900
1390,3,2042,2042,2042,8,253293
0,0,816,816,816,6,118500
880,2,2775,1521,1237,10,325000
240,1,1573,989,884,4,133000
880,3,2028,2028,1868,8,369900
275,1,838,838,816,6,130000
528,2,860,860,840,5,137000
452,1,1473,1473,1437,5,143000
308,1,935,779,742,5,79500
520,2,1582,770,770,7,185900
842,3,2296,1728,1722,10,451950
816,2,816,816,816,5,138000
420,2,848,848,848,6,140000
280,1,924,924,924,5,110000
758,3,1826,1826,1814,8,319000
216,1,1368,684,684,6,114504
648,3,1402,1402,1258,7,194201
621,2,1647,1647,1430,5,217500
452,2,1556,716,716,6,151000
736,2,1904,1058,1058,8,275000
544,1,1375,780,780,6,141000
506,2,1915,927,908,8,220000
480,2,1200,600,600,7,151000
530,2,1494,1494,1494,7,221000
486,2,1986,1186,768,7,205000
576,2,1040,1040,1040,5,152000
230,1,2008,1112,896,5,225000
380,2,3194,1940,965,8,359100
261,1,1029,1029,1029,4,118500
736,3,2153,1476,1440,9,313000
564,2,1032,1032,1032,6,148000
531,2,1872,1299,1299,8,261500
0,0,1120,1120,1120,5,147000
0,0,630,630,630,4,75500
480,2,1054,1054,936,6,137500
393,2,1509,807,783,6,183200
528,2,832,832,832,6,105500
774,3,1828,1828,1822,9,314813
749,3,2262,1482,1482,8,305000
0,0,864,864,864,3,67000
624,2,2614,1548,1522,6,240000
484,2,980,980,980,5,135000
440,2,1512,756,756,6,168500
484,2,1790,1012,732,6,165150
440,2,1116,1116,1116,6,160000
286,1,1422,1422,978,5,139900
364,1,1520,1520,1156,6,153000
504,2,2080,1040,1040,5,135000
520,2,1350,1350,1248,6,168500
240,1,1750,1089,636,5,124000
627,2,1554,1554,1554,8,209500
544,2,1411,1411,1386,7,82500
260,1,1056,1056,1056,5,139400
576,2,1056,1056,1056,6,144000
0,0,3395,1440,1440,6,200000
0,0,800,800,264,2,60000
256,1,1387,811,811,5,93000
0,0,796,796,796,5,85000
648,3,1567,1567,1520,8,264561
588,2,1518,1518,1518,8,274000
650,2,1929,1057,1057,7,226000
538,2,2704,2000,1952,8,345000
462,2,1620,780,780,5,152000
478,3,1766,1766,1766,9,370878
576,2,981,981,981,6,143250
420,2,1048,1048,0,5,98300
495,2,1094,1094,1094,6,155000
442,2,1839,1051,756,6,155000
0,0,630,630,630,4,84500
562,2,1665,822,813,7,205950
296,1,1510,755,755,4,108000
512,2,1716,909,880,7,191000
216,1,1469,756,756,6,135000
839,3,2113,2113,2109,8,350000
264,1,1092,525,525,6,88000
312,1,1053,1053,1053,5,145500
270,1,1502,851,776,7,149000
330,1,1458,912,912,6,97500
480,2,1486,1486,1486,5,167000
550,2,1935,1142,793,7,197900
711,3,2448,1686,1629,8,402000
576,2,1392,1392,1392,6,110000
588,2,1181,1181,1138,4,137500
1134,3,2097,2097,2077,8,423000
504,2,1936,1454,1406,8,230500
596,2,2380,1465,1021,6,129000
575,2,1679,1679,1408,6,193500
576,2,1437,1437,1188,5,168000
252,1,1180,1180,700,4,137500
540,2,1476,738,738,6,173500
300,1,1369,697,672,6,103600
546,2,1208,1208,1208,6,165000
416,2,1839,1839,1477,6,257500
384,1,1136,1136,1136,6,140000
440,2,1441,855,855,6,148500
779,3,1774,1095,1095,4,87000
240,1,792,792,768,5,109500
834,3,2046,2046,2046,8,372500
572,2,988,988,988,5,128500
264,1,923,923,923,6,143000
281,1,1520,848,793,5,159434
431,2,1291,1291,1291,6,173000
702,3,1668,1668,1626,9,285000
486,2,1839,1195,1195,7,221000
577,2,2090,1190,1190,7,207500
578,2,1761,874,874,7,227875
480,2,1102,551,551,7,148800
567,2,1419,1419,1419,8,392000
460,2,1362,1362,1362,6,194700
420,2,848,848,848,6,141000
832,3,4316,2444,2444,10,755000
628,2,2519,1238,1210,7,335000
326,1,1073,1073,1073,5,108480
576,2,1539,1067,927,5,141500
551,2,1137,1137,1112,6,176000
205,1,616,616,616,5,89000
308,1,1148,1148,980,5,123500
336,1,894,894,894,5,138500
530,2,1391,1391,1391,7,196000
765,3,1800,1800,1800,8,312500
528,2,1164,1164,1164,7,140000
666,3,2576,1264,1234,8,361919
672,2,1812,1032,360,5,140000
606,2,1484,1484,1473,7,213000
0,0,1092,372,0,4,55000
739,2,1824,1824,1643,7,302000
550,2,1324,1324,1324,8,254000
400,2,1456,728,728,7,179540
408,1,904,904,876,5,109900
0,0,729,729,270,3,52000
384,1,1178,859,859,4,102776
472,2,1228,1228,1228,8,189000
576,2,960,960,960,4,129000
475,2,1479,725,725,6,130500
478,2,1350,1350,1064,6,165000
704,2,2554,1576,718,7,159500
439,2,1178,1178,1176,5,157000
983,3,2418,1325,1311,7,341000
300,1,971,971,971,5,128500
564,2,1742,1742,1742,8,275000
420,2,848,848,848,6,143000
463,2,864,864,864,4,124500
548,1,1470,997,941,4,135000
768,3,1698,1698,1698,9,320000
660,2,864,864,864,4,120500
540,2,1680,1680,880,6,222000
632,2,1232,1232,1232,7,194500
888,3,1776,1776,1584,5,110000
539,2,1208,848,780,4,103000
608,2,1616,1616,1595,8,236500
438,2,1146,1146,868,7,187500
541,2,2031,1153,1153,7,222500
264,1,1144,1144,864,5,131400
300,1,948,948,948,5,108000
320,2,1768,880,880,7,163000
400,2,1040,1040,0,3,93500
800,3,1801,901,893,8,239900
0,0,1200,1200,1200,5,179000
572,2,1728,864,864,7,190000
360,2,1432,768,264,5,132000
288,1,912,912,912,6,142000
539,2,1349,1349,1349,7,179000
480,2,1464,1464,520,5,175000
462,2,1337,1337,1337,8,180000
831,2,2715,1175,1142,8,299800
554,2,2256,980,952,7,236000
864,4,2640,1320,1240,7,265979
527,2,1720,1720,1720,7,260400
240,1,1529,1088,0,4,98000
0,0,1140,792,576,4,96500
400,2,1320,660,660,7,162000
576,2,1494,1494,1479,6,217000
878,3,2098,1038,1030,8,275500
440,2,1026,1026,1026,6,156000
440,2,1471,742,729,6,172500
578,2,1768,866,866,8,212000
440,2,1386,672,672,6,158900
440,2,1501,757,744,7,179400
752,3,2531,1328,1318,8,290000
300,1,864,864,864,6,127500
440,2,1301,1301,1145,5,100000
614,2,1547,764,756,7,215200
856,3,2365,1268,1252,8,337000
481,2,1494,1494,1494,8,270000
592,2,1506,1506,1498,9,264132
496,2,1714,980,980,7,196500
423,1,1750,983,983,6,160000
484,2,1836,1836,1860,7,216837
841,3,3279,1690,1650,8,538000
576,2,858,858,858,5,134900
396,2,1220,1220,836,4,102000
672,2,1117,1117,1029,6,107000
275,1,912,912,912,5,114500
895,3,1973,1973,1935,8,395000
412,2,1204,1204,1204,6,162000
865,3,1614,1614,1614,7,221500
440,2,894,894,864,5,142500
630,2,2020,2020,0,5,144000
504,2,1004,1004,975,6,135000
402,2,1253,1253,1237,7,176000
484,2,1603,810,761,6,175900
605,2,1430,1430,1413,7,187100
602,2,1110,1110,1097,5,165500
0,0,1484,742,742,6,128000
457,2,1342,1342,1372,6,161500
416,1,1652,966,686,5,139000
618,2,2084,956,956,7,233000
281,1,901,901,901,4,107900
444,2,2087,976,832,6,187500
397,2,1145,1145,1145,7,160200
539,2,1062,1062,1029,6,146800
455,2,2013,1127,1117,7,269790
474,2,1496,1496,1496,8,225000
409,2,1895,1086,712,7,194500
476,2,1564,888,650,6,171000
528,2,1285,1285,660,6,143500
240,1,773,773,773,5,110000
820,3,3140,1966,1926,9,485000
240,1,1768,981,731,5,175000
603,2,1688,616,616,6,200000
440,2,1196,1196,1196,4,109900
410,2,1456,728,728,7,189000
1020,3,2822,1734,1734,9,582933
286,1,1128,1128,936,5,118000
554,2,1428,1428,1417,7,227680
384,1,980,980,980,5,135500
528,2,1576,1072,1324,5,223500
484,2,1086,1086,1024,5,159950
360,2,2138,1075,849,5,106000
484,2,1309,1309,1040,6,181000
420,2,848,848,848,6,144500
504,2,1044,1044,540,5,55993
301,1,1442,1442,1442,6,157900
280,1,1250,686,686,5,116000
598,2,1661,1661,1649,7,224900
275,1,1008,1008,1008,5,137000
857,3,1689,1689,1568,8,271000
440,2,1052,1052,1010,6,155000
